0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
-5.078750,-1.862029,-5.253640,-2.733686,-0.693060,-0.968011,-5.768006,-2.075916,-2.293345,-0.625287,-4.334209,-1.505477,-3.372523,-1.428696,-3.353153,-0.988421,-3.434062,-2.383897,-4.318502,-3.220494,-1.375835,-0.715087,-4.108828,-4.059948,-1.944412,-1.447275,1.550025,0.942259,-3.195590,-1.770569,-3.344398,-2.941972,-3.142388,-3.267942,-1.035549,-1.288703,-1.353734,-1.656596,-2.147795,-1.552870,-2.454067,-1.160249,-2.268669,-3.358043,-1.616974,-2.709206,-1.722030,-2.815972,-1.808667,-3.112439,-1.431763,-3.693347,-1.266767,-3.171519,-1.711663,-2.640709,-4.223653,-1.866736,-1.755964,-2.557726,-3.097387,-3.662844,-3.354953,-3.751366,-1.851387,-4.068153,-1.442559,-1.767135,-2.931335,-1.437040,-3.065753,-1.386947,-2.925131,-1.218254,-2.762369,-0.026060,-2.236597,-1.527784,-1.779828,-2.433527,-3.013821,-3.666729,-1.793253,-1.021905,-2.015183,-4.336598,-1.816557,0.100306,-1.781176,-3.459559,-1.509052,-2.283974,-1.803221,-1.980788,-1.219282,-1.904995,-1.846260,-1.947787,-1.530394,-2.016816,-1.394330,-1.741728,-1.683457,-0.844398,-1.202803,-0.252210,-1.344207,-0.427778,-1.718143,-2.010632,-2.000114,-2.172576,-2.170964,-1.568939,-0.954019,0.255840
-3.318698,-1.582514,-3.719973,-3.007913,0.256476,-0.250043,-2.837757,-2.117163,-1.349138,-0.949060,-0.917998,-0.772346,-1.080119,-0.907300,-2.382536,-1.949872,-0.998038,-0.679772,-3.899657,-3.108247,-0.745438,-0.391333,-2.200612,-2.256412,-0.074651,-0.845677,1.164935,0.901871,-1.888016,-1.073301,-1.244159,-1.234587,-1.952419,-2.016889,0.038489,-0.126489,-1.605125,-0.577370,-1.477420,-1.047556,-2.979746,-1.782366,-0.854929,-1.351218,-1.123260,-1.451755,-0.933474,-0.909695,-1.040307,-1.646950,-0.389117,-1.672432,-0.542450,-0.916727,-1.313847,-0.453471,-2.321264,-1.244239,-0.172034,-1.293179,-1.390163,-1.339627,-0.638564,-1.854826,-0.620418,-1.673219,-0.583083,-0.850929,-2.684142,-1.187669,-0.903491,-1.233540,-1.672340,-0.790578,-1.802552,-1.020667,-0.578204,-0.254519,-0.747074,-0.208440,-1.451309,-1.122218,-1.122889,-1.320092,-1.023326,-1.458823,-2.191794,0.633529,-1.267571,-0.960260,-1.013520,0.294473,-0.921648,-0.383674,-1.148320,-1.490922,-1.447227,-0.906750,-1.155284,-0.524103,-1.356701,-0.108767,-1.451711,0.267849,-1.287073,-0.082391,-1.789484,1.000259,-0.046830,-0.655000,-0.606450,-0.379071,-0.577086,-0.608195,-1.101792,-1.026030
-0.053824,-1.335017,0.207627,-0.260783,-0.019921,0.675043,0.156988,-0.357033,0.193998,-0.001149,-0.504277,-0.724023,-0.782661,-0.729485,-0.331928,-0.571243,-0.558550,-0.807575,0.339132,-0.231912,0.982560,0.839633,0.004577,0.148402,0.642759,1.291520,2.148924,1.215230,-0.907513,-0.849049,-0.322252,-0.047522,-0.262850,-0.555287,-0.297471,0.147970,-1.621848,-1.006959,-0.239190,-0.383654,-1.137827,-0.241916,-0.238149,-0.025952,-0.724682,-0.017381,-0.689137,-0.450411,-0.743170,-0.149257,-0.248884,-0.095203,-0.385431,-0.262699,-0.457454,-0.234875,-0.423051,-1.230287,-0.319986,-0.576756,-0.668114,-0.267927,-0.589842,-0.097774,-0.983854,0.242252,-0.825284,-0.459850,-0.457374,-1.028317,0.051787,0.107772,-0.476271,-0.483839,-0.059886,-0.459798,-0.814517,-0.829694,-1.335146,-0.605596,-0.785935,-0.611723,-0.455217,-0.543477,-0.572712,-0.284765,0.083399,0.369847,0.108606,0.204679,-0.397404,-0.703372,-0.263833,-1.057201,-0.631454,-0.501100,-0.761224,-0.902826,-0.491296,-0.892652,-0.169567,-0.292206,-0.113038,-0.028552,-0.516858,-0.365794,0.252157,1.706874,0.734334,-0.530598,-0.736112,-0.522804,-1.298456,-0.784409,-0.246809,-1.608019
-1.739589,-1.524332,-1.457568,-1.342411,-0.057753,0.572899,-1.188315,-1.132218,-0.120377,0.115477,-0.547379,-0.808957,-0.913261,-0.881854,-0.846990,-0.562771,-0.529034,-0.970426,-1.661719,-1.576060,0.368715,0.421002,-1.255255,-1.206346,0.227934,0.266791,0.847953,0.997834,-0.928135,-0.780763,-0.630376,-0.745976,-1.191008,-1.398954,-0.815174,-0.616466,-0.433523,-0.701825,-0.625038,-0.969085,-1.525828,-0.604025,-0.892329,-0.992987,-0.886017,-1.072221,-0.868845,-0.932358,-1.011671,-1.012812,-0.659237,-1.150229,-0.738264,-1.345882,-0.530861,-0.951385,-1.565645,-1.588436,-0.603351,-1.245696,-1.161650,-1.428255,-0.796073,-1.206561,-1.141699,-1.503142,-1.035182,-1.030689,-1.626775,-1.609013,-0.191449,-0.282129,-0.653050,-0.615155,-0.676087,0.012372,-0.860074,-0.649189,-0.674171,-0.844073,-0.530818,-1.225990,-0.680286,-0.332734,-0.598003,-1.179593,-0.331097,0.597676,-0.062315,-0.820159,-0.495533,-0.630265,-0.458695,-0.556253,-0.400777,-0.706198,-0.863746,-1.160185,-0.638414,-0.801788,-0.503080,0.024703,-0.602869,0.065957,-0.500088,-0.181376,-0.185794,1.294691,-0.420853,-0.782235,-0.539128,-0.714095,-0.862626,-0.946755,-0.894648,-0.312511
-0.778150,-1.463060,-0.551103,-0.895389,0.068548,0.656771,-0.311502,-0.375139,0.012215,0.205195,-0.357873,-0.442584,-0.689633,-0.366853,-0.427872,-0.326556,-0.667265,-1.052509,-0.467946,-0.955425,0.728565,0.701973,-0.596179,-0.391943,0.065418,0.492180,1.338771,1.206367,-1.118595,-1.065388,-0.498068,-0.118127,-0.886090,-1.046124,-1.082075,-0.527985,-1.128736,-0.834009,-0.557973,-0.375202,-1.441111,-0.474773,-0.505623,-0.337091,-0.473160,-0.202379,-0.595279,-0.286772,-0.526640,-0.036632,-0.265686,-0.122883,-0.335150,-0.309236,-0.388877,-0.073196,-0.989875,-1.421460,0.070459,-0.171574,-0.452911,-0.368235,-0.694911,-0.481651,-0.670303,-0.385886,-0.606425,-0.416445,-0.756688,-1.059005,0.441077,0.551941,-0.477583,-0.608886,-0.211840,-0.627831,-0.928357,-0.967636,-0.826878,-0.402365,-0.601046,-0.542520,-0.394849,-0.635510,-0.553615,0.163608,0.007534,0.183113,0.198701,0.078451,-0.257747,-0.034362,-0.158336,-0.501421,0.124926,-0.286340,-0.655431,-0.495770,-0.640211,-0.476225,-0.085499,0.012471,-0.006091,0.161183,-0.397083,-0.175167,-0.096154,0.767913,-1.503651,-0.345911,-0.234544,-0.215447,-0.013168,-0.552158,-1.513960,-0.951391
-1.085842,-1.355849,-1.198276,-1.202589,-0.449053,0.416206,-0.693365,-0.814034,-0.100493,-0.090900,-0.908305,-0.642099,-1.160556,-0.776507,-1.038893,-0.809272,-0.829785,-1.012477,-1.178324,-1.421945,0.420493,0.534961,-0.937667,-0.991845,0.497823,0.228932,0.800239,1.113613,-1.175519,-1.106594,-0.710429,-0.604008,-0.851233,-1.489790,-0.612919,-0.075733,-1.245234,-0.534081,-0.459749,-0.666384,-0.967150,-0.396321,-0.677559,-1.040663,-0.692813,-0.618845,-0.820463,-0.809912,-0.802597,-0.516402,-0.308214,-0.521258,-0.590090,-0.857978,-0.639437,-0.534549,-1.148255,-0.930079,-0.065042,-0.322884,-0.306074,-0.073320,-0.739624,-0.986078,-0.379475,-0.699123,-0.422743,-0.545546,-0.882548,-0.980843,0.300890,0.289157,-0.592867,-0.884226,-0.698612,-0.479100,-0.521682,-0.599921,-1.301160,-1.005064,-0.846420,-0.955650,-0.996710,-0.667194,-0.422991,-0.825132,-0.313717,0.719992,-0.158549,-0.515917,-0.430517,-0.301476,-0.509059,-0.508609,-0.398860,-1.041400,-0.883944,-0.951486,-0.829702,-0.781222,-0.506369,0.069235,-0.610101,0.158739,-0.638912,-0.240960,-0.374853,1.320834,0.481006,0.094697,-0.516782,-0.345823,-0.648341,-0.516666,-0.985528,-0.691054
-1.042280,-1.529076,-0.788487,-0.834230,0.061368,0.628143,-0.232685,-0.493939,-0.035767,0.386450,-1.599126,-0.871819,-1.480151,-0.616008,-0.926739,0.021686,-0.389237,-1.176267,-0.638155,-1.044074,0.974645,0.915443,-0.614770,-0.412067,0.371035,0.651406,1.063466,1.095152,-0.791714,-0.744263,-0.207294,-0.000811,-0.879472,-1.109567,-1.073789,-0.623789,-0.597662,-0.150763,-0.351302,-0.571873,-0.849216,-0.265710,-0.615645,-0.848658,-0.833600,-0.381276,-0.697444,-0.675251,-0.810383,-0.201832,-0.437079,-0.238372,-0.482142,-0.597955,-0.577836,-0.494212,-1.254386,-1.284811,-0.297127,-0.395877,-0.799877,-0.103103,-0.986411,-0.517707,-0.809125,-0.097657,-0.767814,-0.599133,-1.179528,-1.596523,0.219900,0.149338,-0.592998,-0.393853,-0.447462,-0.706075,-1.057659,-0.847903,-0.873626,-1.130824,-0.436869,-0.617162,-0.321427,0.071041,-0.292423,0.194192,-0.071001,1.356096,0.127474,0.051528,-0.269724,-0.075443,-0.262362,-0.692905,-0.425533,-0.005413,-0.927376,-0.187045,-0.620037,-0.500248,-0.271463,0.149614,-0.186463,0.160463,-0.741046,-0.203098,-0.076294,0.801192,-0.876817,-0.591480,-0.243884,-0.316299,-0.799100,-0.856450,-1.254207,-1.098250
-0.995634,-1.092802,-0.991587,-0.883591,-0.019800,0.230464,-0.937503,-0.905248,-0.157635,-0.176444,-0.702841,-0.791120,-1.114641,-0.827592,-0.923205,-0.680059,-0.413249,-0.481806,-1.006619,-0.909031,0.109334,0.498238,-1.096135,-0.898419,0.307074,0.283770,0.705599,0.794261,-0.737530,-0.563482,-0.529854,-0.242561,-0.538710,-0.742202,0.120793,0.375706,-1.015756,-0.372462,-0.546539,-0.675218,-1.688697,-0.436604,-0.434600,-0.863958,-0.826165,-0.672832,-0.721740,-0.731246,-0.904006,-0.560669,-0.616795,-0.916681,-0.744422,-0.956941,-0.820792,-1.008035,-0.694314,-0.493567,-0.549046,-0.696981,-0.709737,-0.148750,-0.323365,-0.388905,-0.927145,-0.488690,-0.677366,-0.550378,-1.222179,-1.127202,-0.462700,-0.188028,-0.789428,-0.279445,-0.394174,0.633890,-0.053017,-0.142077,-0.389214,-0.055606,-0.410287,-0.530501,-0.653154,-0.081723,-0.500458,-0.730947,-0.401641,0.525379,-0.340944,-0.705001,-0.389370,-0.277644,-0.384468,-0.653640,-0.368144,-1.032274,-0.731342,-0.983123,-0.474736,-0.743943,-0.428745,-0.015739,-0.328847,0.194184,-0.399245,-0.252213,0.296322,1.129515,-1.537846,-0.304492,-0.014700,-0.323131,-0.651243,-0.645120,-1.060601,0.009978
-0.964680,-1.216974,-0.996803,-0.738405,0.279494,0.347078,-0.833224,-0.950387,-0.143462,0.263539,-0.495290,-0.397289,-0.798729,-0.519540,-0.417899,-0.219948,-0.189586,-0.575622,-0.776972,-0.822018,0.319653,0.543145,-0.579113,-0.639083,0.256654,0.733240,1.171431,1.082203,-0.561142,-0.212632,-0.189158,0.008623,-0.778986,-0.856641,-0.589396,-0.536636,-0.726384,-0.572443,-0.565467,-0.766724,-1.181914,-0.286843,-0.626197,-0.647545,-0.727815,-0.417986,-0.721276,-0.478085,-0.948279,-0.471644,-0.743781,-0.782906,-0.585999,-0.711562,-0.685733,-0.570685,-0.732912,-0.939539,-0.872414,-0.880008,-1.014230,-0.830642,-0.444012,-0.283870,-0.967315,-0.378043,-0.955632,-0.793024,-1.291676,-1.460835,-0.114919,0.032387,-0.443341,-0.366926,-0.568726,-0.482707,-0.603516,-0.825127,-0.244399,-1.141309,-0.536993,-0.964625,-0.189025,-0.271262,-0.679355,-0.110160,-0.281782,0.450028,-0.143290,-0.475156,-0.517466,-0.003582,-0.497973,-0.461534,-0.694904,0.075107,-0.614922,-0.217305,-0.429146,-0.245390,-0.446516,-0.013813,-0.383814,-0.051992,-0.720444,-0.258389,-0.279898,0.723420,-1.628020,-0.084192,-0.166205,0.016331,-0.479621,-0.460983,-1.129788,-1.027897
-1.349568,-1.539056,-1.243756,-1.526867,-0.629830,-0.171092,-1.136346,-1.498190,-0.153309,-0.315471,-0.973185,-1.383474,-1.060364,-1.075595,-0.953668,-1.139506,-0.965279,-1.120139,-1.337650,-1.309703,0.348701,0.221665,-0.968296,-1.081717,0.675819,0.464441,0.791732,1.000359,-1.108464,-1.112800,-0.348530,-0.571935,-1.053447,-1.350566,-0.664917,-0.428191,-1.915411,-1.662796,-0.792243,-1.451579,-1.999246,-1.152106,-0.785800,-1.367929,-1.097703,-1.217821,-1.225236,-1.223568,-1.355329,-1.401435,-1.168816,-1.657176,-1.548657,-1.838823,-0.953671,-1.395325,-1.063158,-1.122101,-1.125625,-1.287657,-0.902382,-1.071257,-0.545050,-1.233018,-0.869848,-1.600695,-1.055801,-1.146351,-1.116612,-1.272338,-0.929289,-0.854801,-1.132310,-1.213484,-0.652929,-0.273654,-1.012965,-1.173203,-1.160432,-0.257272,-0.678532,-0.940446,-0.998646,-0.540710,-0.690428,-1.758421,-0.389671,0.270132,-0.411969,-1.175473,-0.678107,-1.217695,-0.605515,-0.850779,-0.216558,-1.644797,-1.103029,-1.675197,-0.951586,-1.496058,-0.434776,-0.458463,-0.267175,0.223409,-0.479024,-0.230135,-0.396625,1.417340,-1.968639,-1.352031,-0.855775,-1.182862,-1.368153,-0.605645,-1.095458,0.566013
